code,name,namew,type,parent
E06000001,Hartlepool,,lad,E12000001
E06000002,Middlesbrough,,lad,E12000001
E06000003,Redcar and Cleveland,,lad,E12000001
E06000004,Stockton-on-Tees,,lad,E12000001
E06000005,Darlington,,lad,E12000001
E06000006,Halton,,lad,E12000002
E06000007,Warrington,,lad,E12000002
E06000008,Blackburn with Darwen,,lad,E12000002
E06000009,Blackpool,,lad,E12000002
E06000010,"Kingston upon Hull, City of",,lad,E12000003
E06000011,East Riding of Yorkshire,,lad,E12000003
E06000012,North East Lincolnshire,,lad,E12000003
E06000013,North Lincolnshire,,lad,E12000003
E06000014,York,,lad,E12000003
E06000015,Derby,,lad,E12000004
E06000016,Leicester,,lad,E12000004
E06000017,Rutland,,lad,E12000004
E06000018,Nottingham,,lad,E12000004
E06000019,"Herefordshire, County of",,lad,E12000005
E06000020,Telford and Wrekin,,lad,E12000005
E06000021,Stoke-on-Trent,,lad,E12000005
E06000022,Bath and North East Somerset,,lad,E12000009
E06000023,"Bristol, City of",,lad,E12000009
E06000024,North Somerset,,lad,E12000009
E06000025,South Gloucestershire,,lad,E12000009
E06000026,Plymouth,,lad,E12000009
E06000027,Torbay,,lad,E12000009
E06000030,Swindon,,lad,E12000009
E06000031,Peterborough,,lad,E12000006
E06000032,Luton,,lad,E12000006
E06000033,Southend-on-Sea,,lad,E12000006
E06000034,Thurrock,,lad,E12000006
E06000035,Medway,,lad,E12000008
E06000036,Bracknell Forest,,lad,E12000008
E06000037,West Berkshire,,lad,E12000008
E06000038,Reading,,lad,E12000008
E06000039,Slough,,lad,E12000008
E06000040,Windsor and Maidenhead,,lad,E12000008
E06000041,Wokingham,,lad,E12000008
E06000042,Milton Keynes,,lad,E12000008
E06000043,Brighton and Hove,,lad,E12000008
E06000044,Portsmouth,,lad,E12000008
E06000045,Southampton,,lad,E12000008
E06000046,Isle of Wight,,lad,E12000008
E06000047,County Durham,,lad,E12000001
E06000049,Cheshire East,,lad,E12000002
E06000050,Cheshire West and Chester,,lad,E12000002
E06000051,Shropshire,,lad,E12000005
E06000052,Cornwall,,lad,E12000009
E06000053,Isles of Scilly,,lad,E12000009
E06000054,Wiltshire,,lad,E12000009
E06000055,Bedford,,lad,E12000006
E06000056,Central Bedfordshire,,lad,E12000006
E06000057,Northumberland,,lad,E12000001
E06000058,"Bournemouth, Christchurch and Poole",,lad,E12000009
E06000059,Dorset,,lad,E12000009
E06000060,Buckinghamshire,,lad,E12000008
E06000061,North Northamptonshire,,lad,E12000004
E06000062,West Northamptonshire,,lad,E12000004
